name,fx,fy,lines
Honor Oak Park (Home of GKT),0.584000,0.677468,national rail;overground
Forrest Hill,0.585000,0.689485,national rail;overground
Sydenham,0.584000,0.701502,national rail;overground
Crystal Palace,0.568000,0.734549,national rail;overground
Penge West,0.585000,0.721030,national rail;overground
Anerley,0.584000,0.733047,national rail;overground
Northwood Junction,0.585000,0.746567,national rail;overground;thameslink
West Croydon,0.588000,0.769099,national rail;overground;tram
Queens Road Peckham,0.542000,0.644421,national rail;overground
Peckham Rye,0.530000,0.660944,national rail;overground;thameslink
Denmark Hill,0.498000,0.666953,national rail;overground;thameslink
Clapham High Street,0.420000,0.689485,national rail;overground
Wandsworth Road,0.393000,0.672961,national rail;overground
